File Name,Emotion,Chroma Standard Deviation,Croma Mean,MEL Standard Deviation,MEL Mean,Spectral Centroid Feature,MFCC Standard Deviation,MFCC Mean,MFCC 1st Derivative,MFCC 2nd Derivative,Root Mean Square Mean,Spectral Rolloff Mean,Spectral Rolloff Range,Zero Crossing Rate,
0,03a01Fa.wav,happy,0.026445938,0.026445938,0.026445938,0.026445938,0.026445938,0.026445938,0.026445938,0.026445938,0.026445938,0.026445938,0.026445938,0.026445938,0.026445938
1,03a01Nc.wav,neutral,0.059700089,0.059700089,0.059700089,0.059700089,0.059700089,0.059700089,0.059700089,0.059700089,0.059700089,0.059700089,0.059700089,0.059700089,0.059700089
2,03a01Wa.wav,angry,0.061093185,0.061093185,0.061093185,0.061093185,0.061093185,0.061093185,0.061093185,0.061093185,0.061093185,0.061093185,0.061093185,0.061093185,0.061093185
3,03a02Fc.wav,happy,0.086585014,0.086585014,0.086585014,0.086585014,0.086585014,0.086585014,0.086585014,0.086585014,0.086585014,0.086585014,0.086585014,0.086585014,0.086585014
4,03a02Nc.wav,neutral,0.100566917,0.100566917,0.100566917,0.100566917,0.100566917,0.100566917,0.100566917,0.100566917,0.100566917,0.100566917,0.100566917,0.100566917,0.100566917
5,03a02Ta.wav,sad,0.064696555,0.064696555,0.064696555,0.064696555,0.064696555,0.064696555,0.064696555,0.064696555,0.064696555,0.064696555,0.064696555,0.064696555,0.064696555
6,03a02Wb.wav,angry,0.050840471,0.050840471,0.050840471,0.050840471,0.050840471,0.050840471,0.050840471,0.050840471,0.050840471,0.050840471,0.050840471,0.050840471,0.050840471
7,03a02Wc.wav,angry,0.039729146,0.039729146,0.039729146,0.039729146,0.039729146,0.039729146,0.039729146,0.039729146,0.039729146,0.039729146,0.039729146,0.039729146,0.039729146
8,03a04Ad.wav,fearful,0.06565285,0.06565285,0.06565285,0.06565285,0.06565285,0.06565285,0.06565285,0.06565285,0.06565285,0.06565285,0.06565285,0.06565285,0.06565285
9,03a04Fd.wav,happy,0.075994738,0.075994738,0.075994738,0.075994738,0.075994738,0.075994738,0.075994738,0.075994738,0.075994738,0.075994738,0.075994738,0.075994738,0.075994738
10,03a04Lc.wav,boredom,0.108572769,0.108572769,0.108572769,0.108572769,0.108572769,0.108572769,0.108572769,0.108572769,0.108572769,0.108572769,0.108572769,0.108572769,0.108572769
11,03a04Nc.wav,neutral,0.073056239,0.073056239,0.073056239,0.073056239,0.073056239,0.073056239,0.073056239,0.073056239,0.073056239,0.073056239,0.073056239,0.073056239,0.073056239
12,03a04Ta.wav,sad,0.054656633,0.054656633,0.054656633,0.054656633,0.054656633,0.054656633,0.054656633,0.054656633,0.054656633,0.054656633,0.054656633,0.054656633,0.054656633
13,03a04Wc.wav,angry,0.085010536,0.085010536,0.085010536,0.085010536,0.085010536,0.085010536,0.085010536,0.085010536,0.085010536,0.085010536,0.085010536,0.085010536,0.085010536
14,03a05Aa.wav,fearful,0.057881154,0.057881154,0.057881154,0.057881154,0.057881154,0.057881154,0.057881154,0.057881154,0.057881154,0.057881154,0.057881154,0.057881154,0.057881154
15,03a05Fc.wav,happy,0.069739637,0.069739637,0.069739637,0.069739637,0.069739637,0.069739637,0.069739637,0.069739637,0.069739637,0.069739637,0.069739637,0.069739637,0.069739637
16,03a05Nd.wav,neutral,0.081215155,0.081215155,0.081215155,0.081215155,0.081215155,0.081215155,0.081215155,0.081215155,0.081215155,0.081215155,0.081215155,0.081215155,0.081215155
17,03a05Tc.wav,sad,0.058907366,0.058907366,0.058907366,0.058907366,0.058907366,0.058907366,0.058907366,0.058907366,0.058907366,0.058907366,0.058907366,0.058907366,0.058907366
18,03a05Wa.wav,angry,0.067668955,0.067668955,0.067668955,0.067668955,0.067668955,0.067668955,0.067668955,0.067668955,0.067668955,0.067668955,0.067668955,0.067668955,0.067668955
19,03a05Wb.wav,angry,0.057011854,0.057011854,0.057011854,0.057011854,0.057011854,0.057011854,0.057011854,0.057011854,0.057011854,0.057011854,0.057011854,0.057011854,0.057011854
20,03a07Fa.wav,happy,0.085582717,0.085582717,0.085582717,0.085582717,0.085582717,0.085582717,0.085582717,0.085582717,0.085582717,0.085582717,0.085582717,0.085582717,0.085582717
21,03a07Fb.wav,happy,0.080026728,0.080026728,0.080026728,0.080026728,0.080026728,0.080026728,0.080026728,0.080026728,0.080026728,0.080026728,0.080026728,0.080026728,0.080026728
22,03a07La.wav,boredom,0.094388616,0.094388616,0.094388616,0.094388616,0.094388616,0.094388616,0.094388616,0.094388616,0.094388616,0.094388616,0.094388616,0.094388616,0.094388616
23,03a07Nc.wav,neutral,0.112421119,0.112421119,0.112421119,0.112421119,0.112421119,0.112421119,0.112421119,0.112421119,0.112421119,0.112421119,0.112421119,0.112421119,0.112421119
24,03a07Wc.wav,angry,0.054953293,0.054953293,0.054953293,0.054953293,0.054953293,0.054953293,0.054953293,0.054953293,0.054953293,0.054953293,0.054953293,0.054953293,0.054953293
25,03b01Fa.wav,happy,0.154256543,0.154256543,0.154256543,0.154256543,0.154256543,0.154256543,0.154256543,0.154256543,0.154256543,0.154256543,0.154256543,0.154256543,0.154256543
26,03b01Lb.wav,boredom,0.076105468,0.076105468,0.076105468,0.076105468,0.076105468,0.076105468,0.076105468,0.076105468,0.076105468,0.076105468,0.076105468,0.076105468,0.076105468
27,03b01Nb.wav,neutral,0.061453097,0.061453097,0.061453097,0.061453097,0.061453097,0.061453097,0.061453097,0.061453097,0.061453097,0.061453097,0.061453097,0.061453097,0.061453097
28,03b01Td.wav,sad,0.039813333,0.039813333,0.039813333,0.039813333,0.039813333,0.039813333,0.039813333,0.039813333,0.039813333,0.039813333,0.039813333,0.039813333,0.039813333
29,03b01Wa.wav,angry,0.051101019,0.051101019,0.051101019,0.051101019,0.051101019,0.051101019,0.051101019,0.051101019,0.051101019,0.051101019,0.051101019,0.051101019,0.051101019
30,03b01Wc.wav,angry,0.051741234,0.051741234,0.051741234,0.051741234,0.051741234,0.051741234,0.051741234,0.051741234,0.051741234,0.051741234,0.051741234,0.051741234,0.051741234
31,03b02Aa.wav,fearful,0.06828428,0.06828428,0.06828428,0.06828428,0.06828428,0.06828428,0.06828428,0.06828428,0.06828428,0.06828428,0.06828428,0.06828428,0.06828428
32,03b02La.wav,boredom,0.038611049,0.038611049,0.038611049,0.038611049,0.038611049,0.038611049,0.038611049,0.038611049,0.038611049,0.038611049,0.038611049,0.038611049,0.038611049
33,03b02Na.wav,neutral,0.055430761,0.055430761,0.055430761,0.055430761,0.055430761,0.055430761,0.055430761,0.055430761,0.055430761,0.055430761,0.055430761,0.055430761,0.055430761
34,03b02Tb.wav,sad,0.047036343,0.047036343,0.047036343,0.047036343,0.047036343,0.047036343,0.047036343,0.047036343,0.047036343,0.047036343,0.047036343,0.047036343,0.047036343
35,03b02Wb.wav,angry,0.066293139,0.066293139,0.066293139,0.066293139,0.066293139,0.066293139,0.066293139,0.066293139,0.066293139,0.066293139,0.066293139,0.066293139,0.066293139
36,03b03Nb.wav,neutral,0.068987029,0.068987029,0.068987029,0.068987029,0.068987029,0.068987029,0.068987029,0.068987029,0.068987029,0.068987029,0.068987029,0.068987029,0.068987029
37,03b03Tc.wav,sad,0.027778953,0.027778953,0.027778953,0.027778953,0.027778953,0.027778953,0.027778953,0.027778953,0.027778953,0.027778953,0.027778953,0.027778953,0.027778953
38,03b03Wc.wav,angry,0.029907989,0.029907989,0.029907989,0.029907989,0.029907989,0.029907989,0.029907989,0.029907989,0.029907989,0.029907989,0.029907989,0.029907989,0.029907989
39,03b09La.wav,boredom,0.075821265,0.075821265,0.075821265,0.075821265,0.075821265,0.075821265,0.075821265,0.075821265,0.075821265,0.075821265,0.075821265,0.075821265,0.075821265
40,03b09Nc.wav,neutral,0.077323042,0.077323042,0.077323042,0.077323042,0.077323042,0.077323042,0.077323042,0.077323042,0.077323042,0.077323042,0.077323042,0.077323042,0.077323042
41,03b09Tc.wav,sad,0.133929856,0.133929856,0.133929856,0.133929856,0.133929856,0.133929856,0.133929856,0.133929856,0.133929856,0.133929856,0.133929856,0.133929856,0.133929856
42,03b09Wa.wav,angry,0.053762779,0.053762779,0.053762779,0.053762779,0.053762779,0.053762779,0.053762779,0.053762779,0.053762779,0.053762779,0.053762779,0.053762779,0.053762779
43,03b10Ab.wav,fearful,0.036259771,0.036259771,0.036259771,0.036259771,0.036259771,0.036259771,0.036259771,0.036259771,0.036259771,0.036259771,0.036259771,0.036259771,0.036259771
44,03b10Ec.wav,disgust,0.09949174,0.09949174,0.09949174,0.09949174,0.09949174,0.09949174,0.09949174,0.09949174,0.09949174,0.09949174,0.09949174,0.09949174,0.09949174
45,03b10Na.wav,neutral,0.117357741,0.117357741,0.117357741,0.117357741,0.117357741,0.117357741,0.117357741,0.117357741,0.117357741,0.117357741,0.117357741,0.117357741,0.117357741
46,03b10Nc.wav,neutral,0.067970077,0.067970077,0.067970077,0.067970077,0.067970077,0.067970077,0.067970077,0.067970077,0.067970077,0.067970077,0.067970077,0.067970077,0.067970077
47,03b10Wb.wav,angry,0.035528614,0.035528614,0.035528614,0.035528614,0.035528614,0.035528614,0.035528614,0.035528614,0.035528614,0.035528614,0.035528614,0.035528614,0.035528614
48,03b10Wc.wav,angry,0.062156382,0.062156382,0.062156382,0.062156382,0.062156382,0.062156382,0.062156382,0.062156382,0.062156382,0.062156382,0.062156382,0.062156382,0.062156382
49,08a01Ab.wav,fearful,0.086803324,0.086803324,0.086803324,0.086803324,0.086803324,0.086803324,0.086803324,0.086803324,0.086803324,0.086803324,0.086803324,0.086803324,0.086803324
50,08a01Fd.wav,happy,0.279515359,0.279515359,0.279515359,0.279515359,0.279515359,0.279515359,0.279515359,0.279515359,0.279515359,0.279515359,0.279515359,0.279515359,0.279515359
51,08a01Lc.wav,boredom,0.132006539,0.132006539,0.132006539,0.132006539,0.132006539,0.132006539,0.132006539,0.132006539,0.132006539,0.132006539,0.132006539,0.132006539,0.132006539
52,08a01Na.wav,neutral,0.112160869,0.112160869,0.112160869,0.112160869,0.112160869,0.112160869,0.112160869,0.112160869,0.112160869,0.112160869,0.112160869,0.112160869,0.112160869
53,08a01Wa.wav,angry,0.015311683,0.015311683,0.015311683,0.015311683,0.015311683,0.015311683,0.015311683,0.015311683,0.015311683,0.015311683,0.015311683,0.015311683,0.015311683
54,08a01Wc.wav,angry,0.065798051,0.065798051,0.065798051,0.065798051,0.065798051,0.065798051,0.065798051,0.065798051,0.065798051,0.065798051,0.065798051,0.065798051,0.065798051
55,08a02Ab.wav,fearful,0.141939296,0.141939296,0.141939296,0.141939296,0.141939296,0.141939296,0.141939296,0.141939296,0.141939296,0.141939296,0.141939296,0.141939296,0.141939296
56,08a02Ac.wav,fearful,0.033867081,0.033867081,0.033867081,0.033867081,0.033867081,0.033867081,0.033867081,0.033867081,0.033867081,0.033867081,0.033867081,0.033867081,0.033867081
57,08a02Fe.wav,happy,0.126435503,0.126435503,0.126435503,0.126435503,0.126435503,0.126435503,0.126435503,0.126435503,0.126435503,0.126435503,0.126435503,0.126435503,0.126435503
58,08a02La.wav,boredom,0.13848077,0.13848077,0.13848077,0.13848077,0.13848077,0.13848077,0.13848077,0.13848077,0.13848077,0.13848077,0.13848077,0.13848077,0.13848077
59,08a02Na.wav,neutral,0.242991735,0.242991735,0.242991735,0.242991735,0.242991735,0.242991735,0.242991735,0.242991735,0.242991735,0.242991735,0.242991735,0.242991735,0.242991735
60,08a02Tb.wav,sad,0.286348395,0.286348395,0.286348395,0.286348395,0.286348395,0.286348395,0.286348395,0.286348395,0.286348395,0.286348395,0.286348395,0.286348395,0.286348395
61,08a02Wc.wav,angry,0.021452465,0.021452465,0.021452465,0.021452465,0.021452465,0.021452465,0.021452465,0.021452465,0.021452465,0.021452465,0.021452465,0.021452465,0.021452465
62,08a04Ff.wav,happy,0.078882966,0.078882966,0.078882966,0.078882966,0.078882966,0.078882966,0.078882966,0.078882966,0.078882966,0.078882966,0.078882966,0.078882966,0.078882966
63,08a04La.wav,boredom,0.191308838,0.191308838,0.191308838,0.191308838,0.191308838,0.191308838,0.191308838,0.191308838,0.191308838,0.191308838,0.191308838,0.191308838,0.191308838
64,08a04Nc.wav,neutral,0.118525945,0.118525945,0.118525945,0.118525945,0.118525945,0.118525945,0.118525945,0.118525945,0.118525945,0.118525945,0.118525945,0.118525945,0.118525945
65,08a04Tb.wav,sad,0.17841707,0.17841707,0.17841707,0.17841707,0.17841707,0.17841707,0.17841707,0.17841707,0.17841707,0.17841707,0.17841707,0.17841707,0.17841707
66,08a04Wc.wav,angry,0.057545133,0.057545133,0.057545133,0.057545133,0.057545133,0.057545133,0.057545133,0.057545133,0.057545133,0.057545133,0.057545133,0.057545133,0.057545133
67,08a05Fe.wav,happy,0.098733779,0.098733779,0.098733779,0.098733779,0.098733779,0.098733779,0.098733779,0.098733779,0.098733779,0.098733779,0.098733779,0.098733779,0.098733779
68,08a05Lc.wav,boredom,0.095937321,0.095937321,0.095937321,0.095937321,0.095937321,0.095937321,0.095937321,0.095937321,0.095937321,0.095937321,0.095937321,0.095937321,0.095937321
69,08a05Nb.wav,neutral,0.068208562,0.068208562,0.068208562,0.068208562,0.068208562,0.068208562,0.068208562,0.068208562,0.068208562,0.068208562,0.068208562,0.068208562,0.068208562
70,08a05Ta.wav,sad,0.165827452,0.165827452,0.165827452,0.165827452,0.165827452,0.165827452,0.165827452,0.165827452,0.165827452,0.165827452,0.165827452,0.165827452,0.165827452
71,08a05Wa.wav,angry,0.083715119,0.083715119,0.083715119,0.083715119,0.083715119,0.083715119,0.083715119,0.083715119,0.083715119,0.083715119,0.083715119,0.083715119,0.083715119
72,08a07Fd.wav,happy,0.151441381,0.151441381,0.151441381,0.151441381,0.151441381,0.151441381,0.151441381,0.151441381,0.151441381,0.151441381,0.151441381,0.151441381,0.151441381
73,08a07La.wav,boredom,0.537233667,0.537233667,0.537233667,0.537233667,0.537233667,0.537233667,0.537233667,0.537233667,0.537233667,0.537233667,0.537233667,0.537233667,0.537233667
74,08a07Na.wav,neutral,0.311071508,0.311071508,0.311071508,0.311071508,0.311071508,0.311071508,0.311071508,0.311071508,0.311071508,0.311071508,0.311071508,0.311071508,0.311071508
75,08a07Ta.wav,sad,0.271031172,0.271031172,0.271031172,0.271031172,0.271031172,0.271031172,0.271031172,0.271031172,0.271031172,0.271031172,0.271031172,0.271031172,0.271031172
76,08a07Tb.wav,sad,0.249734241,0.249734241,0.249734241,0.249734241,0.249734241,0.249734241,0.249734241,0.249734241,0.249734241,0.249734241,0.249734241,0.249734241,0.249734241
77,08a07Wc.wav,angry,0.036982099,0.036982099,0.036982099,0.036982099,0.036982099,0.036982099,0.036982099,0.036982099,0.036982099,0.036982099,0.036982099,0.036982099,0.036982099
